curve_idx,target,amp_score,cq,cycle_no,rn,drn,Fn,pcr_plate,sample_type,igi_call
49627,RnaseP,2.6349549496116897,27.282193116898334,43,382380.09375,355751.8093496033,382380.1,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,44,386547.4375,359866.17575504706,386547.44,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,45,389955.65625,363221.4171604908,389955.66,AC00GXU9,Clinical Sample,Positive
49743,RnaseP,2.6216734347938195,27.66942313056788,1,25890.732421875,165.67817041838498,25890.732,AC00GXU9,Clinical Sample,Positive
49743,RnaseP,2.6216734347938195,27.66942313056788,2,26002.560546875,224.79455167483684,26002.56,AC00GXU9,Clinical Sample,Positive
49743,RnaseP,2.6216734347938195,27.66942313056788,3,26025.130859375,194.65312043128503,26025.13,AC00GXU9,Clinical Sample,Positive
49743,RnaseP,2.6216734347938195,27.66942313056788,4,25978.576171875,95.38668918773692,25978.576,AC00GXU9,Clinical Sample,Positive
49743,RnaseP,2.6216734347938195,27.66942313056788,5,25961.439453125,25.53822669418514,25961.44,AC00GXU9,Clinical Sample,Positive
49743,RnaseP,2.6216734347938195,27.66942313056788,6,25938.29296875,-50.320001424363,25938.293,AC00GXU9,Clinical Sample,Positive
49743,RnaseP,2.6216734347938195,27.66942313056788,7,25972.51171875,-68.81299516791478,25972.512,AC00GXU9,Clinical Sample,Positive
49743,RnaseP,2.6216734347938195,27.66942313056788,8,25996.375,-97.66145766146292,25996.375,AC00GXU9,Clinical Sample,Positive
49743,RnaseP,2.6216734347938195,27.66942313056788,9,26185.15234375,38.4041423449853,26185.152,AC00GXU9,Clinical Sample,Positive
49743,RnaseP,2.6216734347938195,27.66942313056788,10,26214.65234375,15.192398601437162,26214.652,AC00GXU9,Clinical Sample,Positive
49743,RnaseP,2.6216734347938195,27.66942313056788,11,26186.65625,-65.51543889211462,26186.656,AC00GXU9,Clinical Sample,Positive
49743,RnaseP,2.6216734347938195,27.66942313056788,12,26250.357421875,-54.52601076066276,26250.357,AC00GXU9,Clinical Sample,Positive
49743,RnaseP,2.6216734347938195,27.66942313056788,13,26253.607421875,-103.98775450421454,26253.607,AC00GXU9,Clinical Sample,Positive
49743,RnaseP,2.6216734347938195,27.66942313056788,14,26364.99609375,-45.31082637276268,26364.996,AC00GXU9,Clinical Sample,Positive
49743,RnaseP,2.6216734347938195,27.66942313056788,15,26344.287109375,-118.73155449131444,26344.287,AC00GXU9,Clinical Sample,Positive
49743,RnaseP,2.6216734347938195,27.66942313056788,16,26323.97265625,-191.7577513598626,26323.973,AC00GXU9,Clinical Sample,Positive
49743,RnaseP,2.6216734347938195,27.66942313056788,17,26523.458984375,-44.98316697841437,26523.459,AC00GXU9,Clinical Sample,Positive
49743,RnaseP,2.6216734347938195,27.66942313056788,18,26726.470703125,105.31680802803749,26726.47,AC00GXU9,Clinical Sample,Positive
49743,RnaseP,2.6216734347938195,27.66942313056788,19,26962.75,288.8843611594857,26962.75,AC00GXU9,Clinical Sample,Positive
49743,RnaseP,2.6216734347938195,27.66942313056788,20,26804.80859375,78.23121116593393,26804.809,AC00GXU9,Clinical Sample,Positive
49743,RnaseP,2.6216734347938195,27.66942313056788,21,26744.5078125,-34.78131382761421,26744.508,AC00GXU9,Clinical Sample,Positive
49743,RnaseP,2.6216734347938195,27.66942313056788,22,27009.18359375,177.182723678834,27009.184,AC00GXU9,Clinical Sample,Positive
49743,RnaseP,2.6216734347938195,27.66942313056788,23,27118.212890625,233.50027681028587,27118.213,AC00GXU9,Clinical Sample,Positive
49743,RnaseP,2.6216734347938195,27.66942313056788,24,27511.357421875,573.9330643167341,27511.357,AC00GXU9,Clinical Sample,Positive
